Input;Output
Наконец,  он  поехал  в  России  поступил  университет.;Ошибка: России. Нужно использовать: винительный падеж. Правильно: Россию
Вчера  у  моего  папы  быль  день  рождение  и  мы  это  праздновали  всей  семей  но  под  вечер  к  нам  пришли  все  наши  родственники  и  друзья.;Ошибка: рождение. Нужно использовать: родительный падеж. Правильно: рождения
Собака  сказал,  что  они  можно  жить  вместе  в  свободном  дома  в  простоквашине.;Ошибка: дома. Нужно использовать: предложный падеж. Правильно: доме
этой спецгруппой.;Ошибка: спецгруппой. Нужно использовать: родительный падеж. Правильно: спецгруппы
Дистанционном  обучение  нам  даёт  какую-то  определённую  тему  и  мы  сами  его  изучаем,   ищем  в  интернетах,  книгах  и  дополнительно  ищем  информации  и  вот  это  нам  помогает  развиваться  и  узнать  о  многом.;Ошибка: обучение. Нужно использовать: предложный падеж. Правильно: обучении
Он говорил с ней то, что обыкновенно говорят в свете. ;Предложение правильное.
 закричал ревностный друг и выхватил из-под ног беглеца доску. ;Предложение правильное.
Поскольку он имеет стиль модерн, в наши дни он выглядит необычный и восхитительный.;Ошибка: восхитительный. Нужно использовать: творительный падеж. Правильно: восхитительным
Я люблю в доме порядок ;Предложение правильное.
После  ухода  близких  я  в  своем  комнате  открываю  подарки  и  читаю  пожеланий.;Ошибка: пожеланий. Нужно использовать: винительный падеж. Правильно: пожелания
Итак  гостиница  находилась  в  центре  город  в  очень  красный  районе  и  была  очень  дешёвая ( етак  сто  сорок  датских  крон –  двадцать  один  франк  за  ночь)  но  она  не  была  люкс;Ошибка: город. Нужно использовать: родительный падеж. Правильно: города
Чем больше людей в стране имеют образования, тем лучше развития экономики.;Ошибка: образования. Нужно использовать: винительный падеж. Правильно: образование,
Что я могу сказать.. ;Предложение правильное.
В отличие от американских свидетельств, которые каждый штата делает по-разному каждый штат, в России есть единый формат для всей страны.;Ошибка: штата. Нужно использовать: именительный падеж. Правильно: штат
Но я ещё в вену выбрал интересный тур на Алтай .;Ошибка: вену. Нужно использовать: предложный падеж. Правильно: Вене
А хороший пример кулинарной глобализации-- макдоналдизация, процесс того, как американская сеть ресторанов быстрого питания распространилась по всему миру и сейчас можно видеть макдональдс и американскую кухню в любой точке мир.;Ошибка: мир. Нужно использовать: родительный падеж. Правильно: мира
Потом он начал влюбляться во вторую. ;Предложение правильное.
Вы этого не понимаете, но, поверьте мне, со мной что-то делалось, меня нельзя было остановить, я сказала мужу, что больна, и поехала сюда... ;Предложение правильное.
 Что с тобой, собачка ;Предложение правильное.
 Матрёна добрая, только не умеет мечтать, совсем не уме ет, но это ничего..;Предложение правильное.
У неё золотых и серебряные медали из Германии , Испании , Франции , Канады , Австралии .;Ошибка: золотых. Нужно использовать: именительный падеж. Правильно: золотые
Но тоже бывают ситуации, когда одни организации или страны рукаводят изменения систем образования в других странах, не смотря на то, что хотят эти страны.;Ошибка: изменения. Нужно использовать: творительный падеж. Правильно: изменениями
 Как много у вас денег ;Предложение правильное.
 Совсем не знал,  удивился князь.  Быть не может;Предложение правильное.
Вечером Варе принесли от него записку: «Всю ночь буду работать. ;Предложение правильное.
джонатана родился в 1832-ом году .;Ошибка: джонатана. Нужно использовать: именительный падеж. Правильно: Джонатан
Но  а  по  выходным, 2  раза  в  месяц  я  могу  позволить  себе  поход  в  кино  или  встреча  с  друзьями.;Ошибка: встреча. Нужно использовать: винительный падеж. Правильно: встречу
Это было после ряда сильных припадков моей болезни, а я всегда, если болезнь усиливалась и припадки повторялись несколько раз, терял совершенно память. ;Предложение правильное.
Нечего их жалеть, ставь по двадцати фридрихсдоров разом;Предложение правильное.
Но  благодаря  этому,  с  русскими  всегда  приятно  обсуждать  о  литературе.;Ошибка: о   литературе. Нужно использовать: винительный падеж. Правильно: литературу
 Вот видите, зачем же вы тогда убежали от меня ;Предложение правильное.
Садовник меня плохо кормит, и я похудел. ;Предложение правильное.
блогеров пишут статьи в Интернете , в « Инстаграме » , в « Фейсбуке » или в « ВКонтакте » или публикуют ролики на « Ютубе » .;Ошибка: блогеров. Нужно использовать: именительный падеж. Правильно: Блогеры
Все наши окружили её с поздравлениями. ;Предложение правильное.
Есть и такие, что требуют капитального ремонта и вложение денег.;Ошибка: вложение. Нужно использовать: родительный падеж. Правильно: вложения
Как  я  гулял  по  вечерам  по  заброшенным  домам  и  территория,  как  собирал  ягоды  и  спелые  фрукты  срывал  с  деревьев,  как  лежал  на  траве  прикусывая  траву,  как  лазил  по  деревьям  и  срывал  спелые  фрукты,  лазил  на  соседском  огороде  оглядываясь  при  каждом  шорох  это  было  лето,  что  я  пережил.;Ошибка: территория. Нужно использовать: предложный падеж. Правильно: территории
Во  первых  мне  исполнилось  восемнадцать   и  я  радовался  за  это.;Ошибка: за   это. Нужно использовать: дательный падеж. Правильно: этому
Он лежал и читал турецкую книжку. ;Предложение правильное.
Даже президент активно поддерживает роль и место русского языка: Здесь мы видим двух цитат Президента Беларусь, Александр Лукашенко: цитаты.;Ошибка: Александр. Нужно использовать: родительный падеж. Правильно: Александра
Во-первых,  я  могу  экономить  своих  деньги  и  времени,  потому  что  мне  не  надо  выходить  из  дома.;Ошибка: времени. Нужно использовать: винительный падеж. Правильно: время
Ну, сударь мой, как вам это понравится ;Предложение правильное.
Что такое Эрмитаж ;Ошибка: такое. Нужно использовать: именительный падеж. Правильно: такое
Согласно его словам, нужно иметь опыт работы и специализация по определённой области, чтобы делать качественный перевод.;Ошибка: специализация. Нужно использовать: винительный падеж. Правильно: специализацию
Если  человек  не  ростёт  без  воспитания  он  конце  концов  гибнет  без  совести  и  без  честь.;Ошибка: честь. Нужно использовать: родительный падеж. Правильно: чести
Но, кажется, мне конец» ;Предложение правильное.
Сегодня Варя должна была попрощаться с Эрастом Петровичем. ;Предложение правильное.
катуни  небольшая , но очень быстрая горная река .;Ошибка: катуни. Нужно использовать: именительный падеж. Правильно: Катунь
Ещё  другой  преподаватель  сказал,  что  его  студенты  часто  бывает  проблемы  с  интернетом  или  веб- камера,  поэтому  они  тратили  многие  времени  решить  проблемы.;Ошибка: камера. Нужно использовать: творительный падеж. Правильно: камерой
Алексей Александрович вздрог-нул при упоминании о жене, но тотчас же на лице его установилась та мёртвая неподвижность, которая выражала совершенную беспомощность в этом деле. ;Предложение правильное.
Долли уговаривала его поесть и уводила из комнаты, и даже доктор серьёзно смотрел на него и предлагал капель. ;Предложение правильное.
Однако, я никогда не слышала план в том, как государство может поддерживать нелегальным мигрантам и не вредит экономику.;Ошибка: в том. Нужно использовать: родительный падеж. Правильно: того
И, чтобы не заплакать, она вышла из гостиной.;Предложение правильное.
Молчание продолжалось минуты две. ;Предложение правильное.
Ежедневно  у  меня  много  уроки:  чтение,  аудирование,  развитие  речи  и  грамматика.;Ошибка: уроки. Нужно использовать: родительный падеж. Правильно: уроков
Что же делать, что делать» ;Предложение правильное.
Саша  живёт  недалеко  из  университете,  где  он  изучает  архитектуру  в  техническом  факультете.;Ошибка: университете. Нужно использовать: родительный падеж. Правильно: университета
Сегодня вы видели лишь несколько способов, в котором вы можете принять меры, чтобы победить уничтожения одной из наиболее важных экологических систем мира - Озеро Байкал.;Ошибка: уничтожения. Нужно использовать: именительный падеж. Правильно: уничтожение
А потом… он почти ничего не помнил. ;Предложение правильное.
«Что это ты придумала ;Предложение правильное.
альпинистов впервые смогли подняться на вершину только в 1953 году .;Ошибка: альпинистов. Нужно использовать: именительный падеж. Правильно: Альпинисты
Eго сбрасывания ядовитых стоков в озеро Байкал, и так же складирование, захоронение и жжение опасных отходов на берегу озера.;Ошибка: складирование. Нужно использовать: именительный падеж. Правильно: складирования
У вас, наверное, воспаление лёгких ;Предложение правильное.
Сергей вернулся в дом. ;Предложение правильное.
«Ничего,  по думала Варя,  я всю дорогу слушала, что вы говорили о по годе, а теперь вы посидите со мной в ресторане». ;Предложение правильное.
Все будут говорить, что он великий мученик. ;Предложение правильное.
Ну как не стыдно из-за такой ерунды ;Предложение правильное.
У него есть жену и дети .;Ошибка: жену. Нужно использовать: именительный падеж. Правильно: жена
Можно было уговорить подождать с деньгами. ;Предложение правильное.
Конечно, я знаю, что это он только смотрит так, что в сердце его больше, чем в моём, нежности... ;Предложение правильное.
Моя  подруга  уже  была  в  Москве  в  прошлом  году,  в  другом  университете  и  она  сказала  что  общежитие  было  очень  плохо.;Ошибка: плохо. Нужно использовать: творительный падеж. Правильно: плохим
какие признаки важны при описании здания или комнаты Важно знать стиль архитектуры, сколько этажей, размер здании и функция здании.;Ошибка: здании. Нужно использовать: родительный падеж. Правильно: здания
Много, много, очень много. ;Предложение правильное.
 Да что ж тут удивительного,  сказал Нарумов,  есливосьмидесятилетняя старуха не играет в карты ;Предложение правильное.
Когда  Виктор  наконец  идёт  к  колесу  обозрения,  встретит  девушку,  каторая  ему  нравится  и  он  даже  приглашает  ей  на  ресторане.;Ошибка: ей. Нужно использовать: винительный падеж. Правильно: её
 вскричал князь в тревоге. ;Предложение правильное.
Но  я  не  люблю  история.;Ошибка: история. Нужно использовать: винительный падеж. Правильно: историю
Во -  вторых,  хочу  сказать  человек  который  тебя  любит  не  желает  зло,  только  добра.;Ошибка: зло. Нужно использовать: родительный падеж. Правильно: зла
Левин, глядя на это маленькое, жалкое существо, не чувствовал, что он его отец. ;Предложение правильное.
У портье лежало три письма на имя мисс Ольсен: из Штутгарта, из Вашингтона и из Рио-де-Жанейро ;Предложение правильное.
 Благодарю вас, княгиня, за ваше внимание и совет. ;Предложение правильное.
 улыбнулся Соболев Варе. ;Предложение правильное.
твою подруга ;Ошибка: твою. Нужно использовать: именительный падеж. Правильно: Твоя
Вот в этом разница. ;Предложение правильное.
Однако, я абсолютно согласна с твоей точкой зрения, что если есть возможность у человечества развиваться и создавать благополучные условия для разрешение проблемах в мире, тогда и есть надежда на светлое будущее».;Ошибка: проблемах. Нужно использовать: родительный падеж. Правильно: проблем
Я очень люблю летом в Москве : летом тепло и солнечно , иногда даже бывает жарко , +30 или +35 градусов , в июне часто бывают грозы .;Ошибка: летом. Нужно использовать: винительный падеж. Правильно: лето
 Перемена главная та, что она привезла с собой тень Алексея Вронского,  сказала другая;Предложение правильное.
Не смотря на много протестов и эксперты против производства БЦБК, в 1995 комбинат увеличились на 25 В 1990-ых годах правительство России хотело бы прекращать производства комбинат по экономическим причинам, потому что Россия не получает большинство прибылей от компании.;Ошибка: производства. Нужно использовать: винительный падеж. Правильно: производство
Я не пил сегодня кофе. ;Предложение правильное.
если будет дождь, я, может быть, не приду. ;Предложение правильное.
Они сели на теплоход и поплыли по реке Неве на Ладожское озере .;Ошибка: озере. Нужно использовать: винительный падеж. Правильно: озеро
Мне сейчас деньги нужны. ;Предложение правильное.
Это  была  новост  и  испытание  и  для  их  и  для  преподавателей.;Ошибка: их. Нужно использовать: родительный падеж. Правильно: них
Ей  нужно  отдыхать,  собырать  силу,  зарядить  батарея,  чтобы  смогла  опять  работать,  именно  как  и  человеку  после  работи.;Ошибка: батарея. Нужно использовать: винительный падеж. Правильно: батарею
Работает в таллинского и Берлинском университетах .;Ошибка: таллинского. Нужно использовать: предложный падеж. Правильно: Таллинском
 Что же надо сделать, Лебедев ;Предложение правильное.
Он говорил, обращаясь и к Кити и к Левину и переводя с одного на другого свой спокойный и дружелюбный взгляд,  говорил, очевидно, первое, что приходило в голову. ;Предложение правильное.
Не могу вспомнить, но, вероятно, по такому же случаю, как с чаем, Гуго Карлович прослыл любителем французской горчицы диафан, которую ему подавали ко всякому блюду, и он, бедный, ел её, даже намазывая прямо на хлеб, как масло, и хвалил, что это очень вкусно и зверски ему нравится. ;Предложение правильное.
В  всём  этом  я  увлекаюсь  аудирование.;Ошибка: аудирование. Нужно использовать: творительный падеж. Правильно: аудированием
Половые носили целые горы блинов... ;Предложение правильное.
Вечером бывал в клубе. ;Предложение правильное.
Но мы не сказали , что это очень красивого язык .;Ошибка: красивого. Нужно использовать: именительный падеж. Правильно: красивый
В  людям  я  ценю  такие  черты  как,  воспитанность,  ум,  позитивный  взгляд.;Ошибка: людям. Нужно использовать: предложный падеж. Правильно: людях
брата зовут Адем .;Ошибка: брата. Нужно использовать: винительный падеж. Правильно: Брата
Боцман подбежал к снасти, раздёрнул её и крикнул:  Что копались тут, такие-сякие, как клопы в кипятке ;Предложение правильное.
Свой рассказ он закончил так:  Мне нужно срочно в Россию. ;Предложение правильное.
Госпожа Эстер объяснила Фандорину, почему у неё нет эстерната для девочек: в век мужчин женщина с образованием будет несчастна, потому что обществу она не нужна. ;Предложение правильное.
Я работаю день и учусь в университете вечером .;Ошибка: день. Нужно использовать: винительный падеж. Правильно: днём
В самом деле, память одного из них мне дорога. ;Предложение правильное.
И вы уже знаете , что раньше в нём было 43 букву .;Ошибка: букву. Нужно использовать: родительный падеж. Правильно: буквы
Он желает нам счастье и здоровья .;Ошибка: счастье. Нужно использовать: родительный падеж. Правильно: счастья
Все очень внимательно слушали Фандорина. ;Предложение правильное.
Это наной Шаова .;Ошибка: наной. Нужно использовать: винительный падеж. Правильно: Нану
И рабочим и крестьянам постоянно грозили разные смертельные болезни, и средств для защиты от болезни с лекарство до чистоты было недостаточно из за того, что образование о гигиене не было.;Ошибка: лекарство. Нужно использовать: родительный падеж. Правильно: лекарств
Всё ещё хотите такой работу ;Ошибка: такой. Нужно использовать: винительный падеж. Правильно: такую
Когда дама села за соседний стол недалеко от него, он вспомнил рассказы о лёгких победах, о поездках в горы, и ему вдруг пришла в голову мысль о коротком романе с неизвестною женщиной, которой не знаешь по имени и фамилии. ;Предложение правильное.
Уж какое было впечатление от «Севильского цирюльника», я вам не скажу, только весь этот вечер жилец наш так хорошо смотрел на меня, так хорошо говорил, что я тотчас увидела, что он меня хотел проверить утром, когда предложил, чтоб я одна с ним поехала. ;Предложение правильное.
Холодная война считается самой долгой воной в истории Америке.;Ошибка: Америке. Нужно использовать: родительный падеж. Правильно: Америки
Как  сказал  Сталин  свое  время « человек  боится  только 2  вещи.;Ошибка: вещи. Нужно использовать: родительный падеж. Правильно: вещей
В  рассказе « Нежный  возраст»  Андрея  Геласимова  описанные  две  месяцы  в  жизни  одного  русского  подростка.;Ошибка: месяцы. Нужно использовать: родительный падеж. Правильно: месяца
- Действительно отличную новость ;Ошибка: отличную. Нужно использовать: именительный падеж. Правильно: отличная
И все хотят , чтобы мы увидели их любимцев , поняли , какие они красивые и смешные ;Ошибка: любимцев. Нужно использовать: винительный падеж. Правильно: любимцев
 Я ничего не считаю,  сказала она,  а всегда любила тебя, а если любишь, то любишь всего человека, какой он есть, а не каким я хочу, чтобы он был. ;Предложение правильное.
Смотря  на  все  это  я  учитывало  одного,  это -   то  что   если  ты  хочешь  иметь  такого  друга,  то,  прежде  всего,  сам  стань  им;Ошибка: одного,. Нужно использовать: винительный падеж. Правильно: одно
Да,  с  моим  друга,  и  там  только  была  информацию  в..  на  русском  языке,  поэтому  я  немного  понимаю  ( У  тебя  есть  любимая  музыкальная  группа);Ошибка: друг. Нужно использовать: творительный падеж. Правильно: другом
Я писал : эльбрус огромный , величавый Белел на небо голубом .;Ошибка: небо. Нужно использовать: предложный падеж. Правильно: небе
Эраст Петрович, под самым вашим носом работает опасный хитрый враг, которого вы так и не нашли. ;Предложение правильное.
клауса , почему ты изучаешь русский язык ;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус
Она  ребенку  разбудила  и  подняла,  и  думаю  что  она  его  и  покормила,  поскольку  она « кинулась  разогревать»  что-то,  и  я  думаю,  это  либо  молоко  или  кашу.;Ошибка: ребенку. Нужно использовать: именительный падеж. Правильно: ребёнка
Зачем он не такой, как вы ;Предложение правильное.
Вначале  все  кажется  сложным  и  пугающем,  но  впоследствии  студент  почувствует  пользу  и  приобретет  полезные  навыки  дискуссии,  анализа,  работы  над  проектами  и  публичных  выступлений.;Ошибка: пугающем. Нужно использовать: творительный падеж. Правильно: пугающим
Настасья Филипповна тоже с беспокойным любопытствомглядела на гостей. ;Предложение правильное.
Малоподвижный образ жизни в значительной мере влияет на на сердечно-сосудистую систему, вызывая уменьшение кровообращению в тканях организма, недостаточную сердечную деятельность и др.;Ошибка: кровообращению. Нужно использовать: родительный падеж. Правильно: кровообращения
Господа, я знаю, что на Востоке надо вести себя как большой начальник. ;Предложение правильное.
Но такой человеку трудно жить среди недобрых , неискренних людей .;Ошибка: такой. Нужно использовать: дательный падеж. Правильно: такому
Для тех, кто будет заниматься водными видами спорта, особенно рыбалки, пожалуйста, учитывайте пираньи.;Ошибка: пираньи. Нужно использовать: родительный падеж. Правильно: пираний
Мы видим эти животных на фотографиях , читаем интересные истории об их жизни , поведении , привычках .;Ошибка: эти. Нужно использовать: винительный падеж. Правильно: этих
"Ты был великодушным; ты отдал ей всё  свободу, развод даже. ";Предложение правильное.
Она сломится под твоею тяжестью  и ты неизбежно погибнешь ;Предложение правильное.
По  её  мнению  дистанция  между  любимых  не  влияет  на  любовь.;Ошибка: любимых. Нужно использовать: творительный падеж. Правильно: любимыми
Как  дела  и  как  дело  твоя  семьь.;Ошибка: семьь. Нужно использовать: родительный падеж. Правильно: семьи
В прошлого году он был в Великом Устюге , в Костроме , во Владимире , в Ростове Великом и в Суздале .;Ошибка: прошлого. Нужно использовать: предложный падеж. Правильно: прошлом
И эти изменения связаны с изменениями в самом человечеством.;Ошибка: человечеством. Нужно использовать: предложный падеж. Правильно: человечестве
 Госпожа Суворова,  обратился генерал к Варе,  расскажите про две ваши встречи с журналистом Шеймасом Маклафлином. ;Предложение правильное.
Отец умер ровно год назад, как раз в этот день, пятого мая, в твои именины, Ирина. ;Предложение правильное.
Я  пишу  о  Руссии  и  о  налочисленные  коренные  народи.;Ошибка: коренные. Нужно использовать: предложный падеж. Правильно: коренных
Описание термина Этос Науки» Задача Этос Науки» и эго происхождения Задается вопрос Действуют ли ученые морально, на благо общества»;Ошибка: происхождения. Нужно использовать: именительный падеж. Правильно: происхождение 
Он так глупо спрятал портфель ;Предложение правильное.
 сказала Анна, улыбаясь от счастья и не понимая ни одного слова из того, что говорила ей Бетси. ;Предложение правильное.
Если весело, я вас позову.  А что, в самом деле, не пойти ли ;Предложение правильное.
Они не хотели уступать Генералу Франко, но также не хотели вооружать рабочим.;Ошибка: рабочим. Нужно использовать: винительный падеж. Правильно: рабочих
В  начало  лета  я  был  в  полигоне.;Ошибка: начало. Нужно использовать: предложный падеж. Правильно: начале
В  восем  чесов  вечер,  я  пришёл  дома  и  позвонил  моей  семье.;Ошибка: вечер. Нужно использовать: родительный падеж. Правильно: вечера
Я не видела вас со времени бо лезни Анны. ;Предложение правильное.
Лысый, и даже хвост не двигается. ;Предложение правильное.
И вдруг он начал плакать. ;Предложение правильное.
Затем я могу поделить мой опыт в области некоммерческих организаций в США.;Ошибка: опыт. Нужно использовать: творительный падеж. Правильно: опытом
вашим любимый цвет зелёный ;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш
В 15  декабря,  мама  отправилась  в  Испанию  и  Папа  решил  нанять  уборщицу.  эта  дама  работает  очень  хорошо,  потому  что  каждое  утро  она  готовит  завтрак  в 8.  затем  моет  все  окна,  гладит  одежду  и  чистит  пол.  когда  папа  возвращается  домой  дает  ей  свои  деньги,  и  дама  ходит.  когда  мама  приехала,  она  принесла  нам  много  подарков,  так  как  она  пришла  в 25,  и 25  декабря  ed  Рождество.  на  Рождество  мама  сказала,  что  уборщица  не  придет.  мама  готовила,  делала  почти  все  работы.  мы  отлично  провели  день.  мои  родители  выглядели  очень  счастливыми,  мы  много  ели,  пили  сок,  много  танцевали  и  смеялись.  папа  поставил  рождественская  елка  и  объяснил  нам,  что  это  значит  в  этот  день.  и  мы  отлично  провели  время,  это  был  очень  веселый  день...    мне  очень  нравится,  я  хочу  повторить  этот  день  снова.  но  мама  лежала  на  диване  очень  уставшая,  поэтому  она  сидела,  так  как  много  работала.   в  этот  день  у  нас  не  было  посетителей,  мой  маленький  брат  утром  много  плакал,  но  в  конце  концов  он  уже  доволен  потому  что  он  видел  маму.;Ошибка: елка. Нужно использовать: винительный падеж. Правильно: ёлку
Уже  в  том  возрасте  мне  очень  интересовали  книги  и  поэтому  я  читала  уже  прежде  начинения  школы.;Ошибка: мне. Нужно использовать: винительный падеж. Правильно: меня
Варя не знала, что ответить, и посмотрела туда, где находился лагерь. ;Предложение правильное.
Фундамент сложен из крупных блоках и центральный вход украшают арки.;Ошибка: блоках. Нужно использовать: родительный падеж. Правильно: блоков
 подумал я, смотря на неё с удивлением. ;Предложение правильное.
клауса будет читать книгу три дня .;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус
По  моему  мнения  я  согласна  с  кем  считает  мы  дольжен  сделать  все  мы  можем  для  зашищать  нашу  планету.;Ошибка: мнения. Нужно использовать: дательный падеж. Правильно: мнению
Оленька была очень бледна. ;Предложение правильное.
А  если  люди  получат  много  денег  из  родители,  они  могут  жить  без  работами.;Ошибка: работами. Нужно использовать: родительный падеж. Правильно: работы
Это смешно и глупо, но в этом всё-таки надо сознаться, после его смерти я стал полнеть и вот располнел в один год, точно моё тело освободилось от г-нёта. ;Предложение правильное.
Её сердце рвалось в детскую, но, в угоду мне и маме, она терпела, смотрела на темневшую улицу и быстро стучала ложечкой по столу. ;Предложение правильное.
Потом он положил смотрителю что-то за рукав, открыл дверь, и смотритель оказался на улице.;Предложение правильное.
Надо  быть  довольно  тихо,  иначе  может  быть  трудно  сосредоточивать  на  текст.;Ошибка: текст. Нужно использовать: предложный падеж. Правильно: тексте
 Какие же могут быть сомнения в существовании Бога ;Предложение правильное.
 сказал он себе.  Если правда, что в минуту страданий и близости смер ти она раскаивается, и я, не поверив, откажусь приехать ;Предложение правильное.
Сперва  я  посмотрел  на  каких  работах  можно  на  работать  с  диплом  юриспруденция,  многие  работы  юриспруденции  связаны  с  общением  людьми.  и  это  мне  понравилось.;Ошибка: диплом. Нужно использовать: творительный падеж. Правильно: дипломом
"Я тогда не сказал, что это я самый и есть; а «от Парфёна Рогожина», говорит приятель, «вам в память вчерашней встречи; будьте добры принять». ";Предложение правильное.
И ему казалось, что эту задачу можно решить и должно попытаться это сделать. ;Предложение правильное.
В 2017 год он приехал в Рим и работал на крыше знаменитого римского « Квадратного Колизея » .;Ошибка: год. Нужно использовать: предложный падеж. Правильно: году
А я люблю зелёного чай и пирожки .;Ошибка: зелёного. Нужно использовать: винительный падеж. Правильно: зелёный
