Input;Output
В университет я изучала историю Испании .;Ошибка: университет. Нужно использовать: предложный падеж. Правильно: университете
А ещё я всегда интересовалась искусство и архитектурой .;Ошибка: искусство. Нужно использовать: творительный падеж. Правильно: искусством
И потом поняла , что есть идеальную профессия !;Ошибка: идеальную. Нужно использовать: именительный падеж. Правильно: идеальная
И теперь я работаю гида .;Ошибка: гида. Нужно использовать: творительный падеж. Правильно: гидом
А я люблю чай с вареньем !;Ошибка: чай. Нужно использовать: винительный падеж. Правильно: чай
А какую кофе вы пьёте ?;Ошибка: какую. Нужно использовать: винительный падеж. Правильно: какой
Я каждым день пью кофе с сахаром и молоком .;Ошибка: каждым. Нужно использовать: винительный падеж. Правильно: каждый
А у вас есть любимое блюдо ?;Ошибка: любимое. Нужно использовать: именительный падеж. Правильно: любимое
Я люблю вареники .;Ошибка: вареники. Нужно использовать: винительный падеж. Правильно: вареники
Это традиционное русское блюдо .;Ошибка: традиционное. Нужно использовать: именительный падеж. Правильно: традиционное
вареники могут быть с творогом или с вишней .;Ошибка: вареники. Нужно использовать: именительный падеж. Правильно: Вареники
русских обычно едят вареники со сметаной .;Ошибка: русских. Нужно использовать: именительный падеж. Правильно: Русские
нашу семья небольшая : дедушка , мама , папа и я и наша собака Кико .;Ошибка: нашу. Нужно использовать: именительный падеж. Правильно: Наша
Я единственного ребёнок в семье .;Ошибка: единственного. Нужно использовать: именительный падеж. Правильно: единственный
У меня нет брата или сестры .;Ошибка: брата. Нужно использовать: родительный падеж. Правильно: брата
К сожаление , бабушки уже тоже нет .;Ошибка: сожаление. Нужно использовать: дательный падеж. Правильно: сожалению
маму работает поваром в ресторане , а папа работает тренером .;Ошибка: маму. Нужно использовать: именительный падеж. Правильно: Мама
У меня небольшую семья : родители , старший брат и я. Вся семья живёт здесь , в Турции .;Ошибка: небольшую. Нужно использовать: именительный падеж. Правильно: небольшая
брата зовут Адем .;Ошибка: брата. Нужно использовать: винительный падеж. Правильно: Брата
Он работает менеджера .;Ошибка: менеджера. Нужно использовать: творительный падеж. Правильно: менеджером
У него есть жену и дети .;Ошибка: жену. Нужно использовать: именительный падеж. Правильно: жена
Его жену работает администратором в гостинице .;Ошибка: жену. Нужно использовать: именительный падеж. Правильно: жена
А у меня есть сестру .;Ошибка: сестру. Нужно использовать: именительный падеж. Правильно: сестра
Они с мужа живут в Осаке .;Ошибка: мужа. Нужно использовать: творительный падеж. Правильно: мужем
Она всегда хотела быть врача .;Ошибка: врача. Нужно использовать: творительный падеж. Правильно: врачом
Они пенсионеров .;Ошибка: пенсионеров. Нужно использовать: именительный падеж. Правильно: пенсионеры
У меня есть маму , папа , брат и бабушка .;Ошибка: маму. Нужно использовать: именительный падеж. Правильно: мама
Вы знаете , что я из севилью .;Ошибка: севилью. Нужно использовать: родительный падеж. Правильно: Севильи
А я с бабушку живу в Барселоне .;Ошибка: бабушку. Нужно использовать: творительный падеж. Правильно: бабушкой
Вы знаете , что я работаю гида , а мой брат ещё учится в университете .;Ошибка: гида. Нужно использовать: творительный падеж. Правильно: гидом
Он хочет стать программиста .;Ошибка: программиста. Нужно использовать: творительный падеж. Правильно: программистом
Я живу с кристиана в Милане .;Ошибка: кристиана. Нужно использовать: творительный падеж. Правильно: Кристианом
У меня хорошую жизнь , я хожу с Кристианом гулять в парк , смотрю с ним телевизор , он часто разговаривает со мной , но я не всегда понимаю его .;Ошибка: хорошую. Нужно использовать: именительный падеж. Правильно: хорошая
нашу семья – обычная русская семья .;Ошибка: нашу. Нужно использовать: именительный падеж. Правильно: Наша
У меня есть мужа , сын и дочь .;Ошибка: мужа. Нужно использовать: именительный падеж. Правильно: муж
мой муж работает программистом .;Ошибка: мой. Нужно использовать: именительный падеж. Правильно: Мой
мой сын уже студент .;Ошибка: мой. Нужно использовать: именительный падеж. Правильно: Мой
Он учится в университет и хочет быть программистом , как его отец .;Ошибка: университет. Нужно использовать: предложный падеж. Правильно: университете
мою дочь тоже скоро станет студенткой .;Ошибка: мою. Нужно использовать: именительный падеж. Правильно: Моя
Сейчас она учится в школу в последнем классе .;Ошибка: школу. Нужно использовать: предложный падеж. Правильно: школе
мою дочь интересуется химией и физикой .;Ошибка: мою. Нужно использовать: именительный падеж. Правильно: Моя
А ещё она очень хорошо поёт и играет на пианино .;Ошибка: пианино. Нужно использовать: винительный падеж. Правильно: пианино
Я думала , что она станет певицу или пианисткой , но она мечтает заниматься наукой .;Ошибка: певицу. Нужно использовать: творительный падеж. Правильно: певицей
мою мама живёт с нами .;Ошибка: мою. Нужно использовать: именительный падеж. Правильно: Моя
Сейчас она на пенсию , а раньше работала учительницей в школе .;Ошибка: пенсию. Нужно использовать: предложный падеж. Правильно: пенсии
Она преподавала химией .;Ошибка: химией. Нужно использовать: винительный падеж. Правильно: химию
Может быть , поэтому мою дочь так любит химию .;Ошибка: мою. Нужно использовать: именительный падеж. Правильно: моя
А я никогда не любила химией , но я хотела стать преподавателем , как моя мама .;Ошибка: химией. Нужно использовать: винительный падеж. Правильно: химию
Мне нравилась филологию , поэтому я стала преподавателем русского языка .;Ошибка: филологию. Нужно использовать: именительный падеж. Правильно: филология
У мы есть ещё один член семьи.;Ошибка: мы. Нужно использовать: родительный падеж. Правильно: нас
Это нашу собака Роник .;Ошибка: нашу. Нужно использовать: именительный падеж. Правильно: наша
Мы все очень любим его .;Ошибка: любим. Нужно использовать: Case not found падеж. Правильно: любим
Но гуляю с ним только я , потому что все говорят , что у них нет время .;Ошибка: время. Нужно использовать: родительный падеж. Правильно: времени
мужа работает , дети учатся , мама готовит обеды и ужины .;Ошибка: мужа. Нужно использовать: именительный падеж. Правильно: Муж
А ещё она ходит на танцы .;Ошибка: танцы. Нужно использовать: винительный падеж. Правильно: танцы
В москву работает бесплатная программа « Московское долголетие » .;Ошибка: москву. Нужно использовать: предложный падеж. Правильно: Москве
Все пенсионеров могут заниматься спортом , рисованием , петь и танцевать , учить иностранные языки .;Ошибка: пенсионеров. Нужно использовать: именительный падеж. Правильно: пенсионеры
Скоро маму будет ещё заниматься йогой .;Ошибка: маму. Нужно использовать: именительный падеж. Правильно: мама
клауса , почему ты изучаешь русский язык ?;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус
- Мне очень нравится россию и её природа .;Ошибка: россию. Нужно использовать: именительный падеж. Правильно: Россия
эту такая большая страна !;Ошибка: эту. Нужно использовать: именительный падеж. Правильно: Эта
Я хочу лето туда поехать , поэтому изучаю русский язык .;Ошибка: лето. Нужно использовать: творительный падеж. Правильно: летом
- Завтра я всем день отдыхаю : буду спать , смотреть фильмы и есть пиццу .;Ошибка: всем. Нужно использовать: винительный падеж. Правильно: весь
Ты помнишь , что завтра у хуанитов день рождения ?;Ошибка: хуанитов. Нужно использовать: родительный падеж. Правильно: Хуаниты
Ты уже купил ей подарком ?;Ошибка: подарком. Нужно использовать: винительный падеж. Правильно: подарок
Я куплю ей подарком сегодня .;Ошибка: подарком. Нужно использовать: винительный падеж. Правильно: подарок
Это самое старое дерево в мире .;Ошибка: самое. Нужно использовать: именительный падеж. Правильно: самое
Это сосну .;Ошибка: сосну. Нужно использовать: именительный падеж. Правильно: сосна
Она находится в калифорнию .;Ошибка: калифорнию. Нужно использовать: предложный падеж. Правильно: Калифорнии
Ей 5069 годы .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
Это самое старое дерево в России .;Ошибка: самое. Нужно использовать: именительный падеж. Правильно: самое
Эту дуб .;Ошибка: эту. Нужно использовать: именительный падеж. Правильно: это
Он находится в город Ладушкин .;Ошибка: город. Нужно использовать: предложный падеж. Правильно: городе
Это недалеко от калининград .;Ошибка: калининград. Нужно использовать: родительный падеж. Правильно: Калининграда
Ему 900 годы .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
Это Остромиро евангелия .;Ошибка: евангелия. Нужно использовать: именительный падеж. Правильно: Евангелие
Это самую старая книга в России .;Ошибка: самую. Нужно использовать: именительный падеж. Правильно: самая
она написал монах Григорий в 1056-ом году .;Ошибка: она. Нужно использовать: винительный падеж. Правильно: Её
Скажите , сколько годы книге ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
А это черепаху Джонатан .;Ошибка: черепаху. Нужно использовать: именительный падеж. Правильно: черепаха
Она живёт на остров Святой Елены .;Ошибка: остров. Нужно использовать: предложный падеж. Правильно: острове
Знаете , сколько ей годы ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
джонатана родился в 1832-ом году .;Ошибка: джонатана. Нужно использовать: именительный падеж. Правильно: Джонатан
Скажите , сколько годы Джонатану ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
Это наной Шаова .;Ошибка: наной. Нужно использовать: винительный падеж. Правильно: Нану
Она жила в россию , в Кабардино-Балкарии .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России
Она родилась в 1890-омы году , а умерла в 2019-ом году .;Ошибка: 1890-омы. Нужно использовать: предложный падеж. Правильно: 1890-ом
Скажите , сколько ей было годы ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
Это танаку Канэ .;Ошибка: танаку. Нужно использовать: именительный падеж. Правильно: Танака
Она живёт в японию .;Ошибка: японию. Нужно использовать: предложный падеж. Правильно: Японии
Она родилась в 1903-ем год .;Ошибка: год. Нужно использовать: предложный падеж. Правильно: году
Скажите , сколько ей годы ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
А это самого старый город в мире — Иерихон .;Ошибка: самого. Нужно использовать: именительный падеж. Правильно: самый
Он находится в палестину .;Ошибка: палестину. Нужно использовать: предложный падеж. Правильно: Палестине
Ему примерно 10 000 годы .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
А это городы Керчь ( Пантикапей ) .;Ошибка: городы. Нужно использовать: именительный падеж. Правильно: город
Это самых старый город в России .;Ошибка: самых. Нужно использовать: именительный падеж. Правильно: самый
Ему 2600 годы .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
Посмотрите на карту , где находится этот город .;Ошибка: карту. Нужно использовать: предложный падеж. Правильно: карте
А это собора в Керчи .;Ошибка: собора. Нужно использовать: именительный падеж. Правильно: собор
Это самыи старый собор в России .;Ошибка: самыи. Нужно использовать: именительный падеж. Правильно: самый
Его построили в 752-омы году .;Ошибка: 752-омы. Нужно использовать: предложный падеж. Правильно: 752-ом
Сколько годы собору ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
А это москву .;Ошибка: москву. Нужно использовать: именительный падеж. Правильно: Москва
юрия Долгорукий основал Москву в 1147-ом году .;Ошибка: юрия. Нужно использовать: именительный падеж. Правильно: Юрий
Скажите , сколько годы Москве ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
Это петербурга .;Ошибка: петербурга. Нужно использовать: именительный падеж. Правильно: Петербург
Это очень молодую город .;Ошибка: молодую. Нужно использовать: именительный падеж. Правильно: молодой
петра Первый основал Петербург в 1703-ем году .;Ошибка: петра. Нужно использовать: именительный падеж. Правильно: Пётр
Сколько годы Петербургу ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
возраст не помехи !;Ошибка: помехи. Нужно использовать: именительный падеж. Правильно: помеха
Как вы думаете , можно поменять жизнью и профессию , если вам 60 или 70 лет ?;Ошибка: жизнью. Нужно использовать: винительный падеж. Правильно: жизнь
Вот дедушку Казимир .;Ошибка: дедушку. Нужно использовать: именительный падеж. Правильно: дедушка
Ему было 66 годы , когда он решил поменять профессию и стать диджеем .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
Почти всей жизнь Казимир Карпенко работал директором в доме культуры .;Ошибка: всей. Нужно использовать: винительный падеж. Правильно: всю
Но потом решил , что надо менять жизнью .;Ошибка: жизнью. Нужно использовать: винительный падеж. Правильно: жизнь
Он всегда любил музыкой , поэтому и стал диджеем .;Ошибка: музыкой. Нужно использовать: винительный падеж. Правильно: музыку
Сейчас казимира много путешествует и работает : в Китае , Южной Корее , Казахстане , на Украине , в Германии , в Прибалтике , в Армении .;Ошибка: казимира. Нужно использовать: именительный падеж. Правильно: Казимир
казимира говорит , что каждый день для него — праздник .;Ошибка: казимира. Нужно использовать: именительный падеж. Правильно: Казимир
Посмотрите , пожалуйста , и послушайте , как работает казимира .;Ошибка: казимира. Нужно использовать: именительный падеж. Правильно: Казимир
Это андрея Чирков .;Ошибка: андрея. Нужно использовать: именительный падеж. Правильно: Андрей
андрея начал бегать , когда ему было 52 года .;Ошибка: андрея. Нужно использовать: именительный падеж. Правильно: Андрей
Он никогда не бегал и не занимался спорт раньше .;Ошибка: спорт. Нужно использовать: творительный падеж. Правильно: спортом
А сейчас он регулярно бегает марафонами .;Ошибка: марафонами. Нужно использовать: винительный падеж. Правильно: марафоны
Сейчас андрея в Книге рекордов Гиннесса , потому что он бегал марафоны везде : это 178 стран и все континенты , он бегал даже в Антарктиде !;Ошибка: андрея. Нужно использовать: именительный падеж. Правильно: Андрей
Скоро андрея Чиркову будет 80 лет , и он стал ещё и писателем .;Ошибка: андрея. Нужно использовать: дательный падеж. Правильно: Андрею
Он уже написал 6 книги .;Ошибка: книги. Нужно использовать: родительный падеж. Правильно: книг
Это книгу о здоровье , о том , как изменить жизнь и начать бегать в любом возрасте .;Ошибка: книгу. Нужно использовать: именительный падеж. Правильно: книги
А это пенсионерку из Петербурга Евгения Степанова .;Ошибка: пенсионерку. Нужно использовать: именительный падеж. Правильно: пенсионерка
Она родилась в 1938-омы году в Петербурге .;Ошибка: 1938-омы. Нужно использовать: предложный падеж. Правильно: 1938-ом
евгения работала инженером , а когда стала пенсионеркой , она решила , что нужно начать заниматься спортом .;Ошибка: евгения. Нужно использовать: именительный падеж. Правильно: Евгения
Тогда ей было 60 годы .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
евгению нравятся прыжки в воду .;Ошибка: евгению. Нужно использовать: дательный падеж. Правильно: Евгении
Сейчас евгения чемпионка !;Ошибка: евгения. Нужно использовать: именительный падеж. Правильно: Евгения
У неё золотых и серебряные медали из Германии , Испании , Франции , Канады , Австралии .;Ошибка: золотых. Нужно использовать: именительный падеж. Правильно: золотые
Она регулярно ездит на чемпионатами Европы .;Ошибка: чемпионатами. Нужно использовать: винительный падеж. Правильно: чемпионаты
Посмотрите видеа и страницу Евгении в ВК .;Ошибка: видеа. Нужно использовать: винительный падеж. Правильно: видео
Это валентину Ясень .;Ошибка: валентину. Нужно использовать: именительный падеж. Правильно: Валентина
настоящую звезда !;Ошибка: настоящую. Нужно использовать: именительный падеж. Правильно: Настоящая
валентину работала в аптеке , работала курьером , работала в детском саду .;Ошибка: валентину. Нужно использовать: именительный падеж. Правильно: Валентина
Когда ей было 62 год , она стала фотомоделью .;Ошибка: год. Нужно использовать: родительный падеж. Правильно: года
Сейчас валентину очень занята : фотосессии , интервью и телевизионные шоу .;Ошибка: валентину. Нужно использовать: именительный падеж. Правильно: Валентина
валентину очень популярная модель !;Ошибка: валентину. Нужно использовать: именительный падеж. Правильно: Валентина
Посмотрите она инстаграм .;Ошибка: она. Нужно использовать: винительный падеж. Правильно: её
валентину говорит , что в 60 лет жизнь только начинается .;Ошибка: валентину. Нужно использовать: именительный падеж. Правильно: Валентина
— клауса , что ты делаешь в эти выходные ?;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус
Скоро праздниками .;Ошибка: праздниками. Нужно использовать: именительный падеж. Правильно: праздники
Мне надо купить подарками , но сначала мне надо подумать , что и кому подарить , а это так сложно !;Ошибка: подарками. Нужно использовать: винительный падеж. Правильно: подарки
Тебе надо подумать , кто что любит , и купить это в магазин или заказать в Интернете .;Ошибка: магазин. Нужно использовать: предложный падеж. Правильно: магазине
Что , например , можно подарить маму ?;Ошибка: маму. Нужно использовать: дательный падеж. Правильно: маме
— А что она любит делать в свободное время ?;Ошибка: свободное. Нужно использовать: винительный падеж. Правильно: свободное
— Она очень любит читать , но я уже дарил ей книгу .;Ошибка: книгу. Нужно использовать: винительный падеж. Правильно: книги
— Может быть , тебе надо подарить маму кулинарную книгу ?;Ошибка: маму. Нужно использовать: дательный падеж. Правильно: маме
— Это идею !;Ошибка: идею. Нужно использовать: именительный падеж. Правильно: идея
Я подарю ей книгой « Русская национальная кухня » .;Ошибка: книгой. Нужно использовать: винительный падеж. Правильно: книгу
Я думаю , рецептами ей понравятся .;Ошибка: рецептами. Нужно использовать: именительный падеж. Правильно: рецепты
Купить хорошего и интересный подарок человеку — это совсем непросто .;Ошибка: хорошего. Нужно использовать: винительный падеж. Правильно: хороший
Во-первых , надо хорошо знать , что нравится этот человеку .;Ошибка: этот. Нужно использовать: дательный падеж. Правильно: этому
Важно знать , что он любит и какие у него интересы .;Ошибка: какие. Нужно использовать: винительный падеж. Правильно: какие
Во-вторых , важно знать , что у человек есть , а чего у него нет , что он хочет или о чём он мечтает .;Ошибка: человек. Нужно использовать: родительный падеж. Правильно: человека
Если вы не очень хорошо знаете человек или вы думаете , что у него всё есть , то надо сделать простой подарок .;Ошибка: человек. Нужно использовать: винительный падеж. Правильно: человека
Например , можно подарить цветами или шоколад .;Ошибка: цветами. Нужно использовать: винительный падеж. Правильно: цветы
А ещё можно подарить книгой .;Ошибка: книгой. Нужно использовать: винительный падеж. Правильно: книгу
Мы говорим в россию , что книга — это лучший подарок .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России
Если человека нравится история , можно подарить исторический роман .;Ошибка: человека. Нужно использовать: дательный падеж. Правильно: человеку
Если человека любит искусство , то можно подарить книгу о художнике , а если он изучает русский язык , нужно подарить ему книгу на русском языке или книгу о России .;Ошибка: человека. Нужно использовать: именительный падеж. Правильно: человек
Можно найти разных книги !;Ошибка: разных. Нужно использовать: винительный падеж. Правильно: разные
Утром клауса пошёл на работу .;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус
Он пришёл в кафи в 8 часов утра .;Ошибка: кафи. Нужно использовать: предложный падеж. Правильно: кафе
Он работал до обед , а потом пошёл в университет .;Ошибка: обед. Нужно использовать: родительный падеж. Правильно: обеда
Когда он пришёл в университете , он узнал , что сегодня не лекция , а экзамен .;Ошибка: университете. Нужно использовать: винительный падеж. Правильно: университет
клауса такой талантливый !;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус
Он сдал экзаменом и пошёл в гости к Софии .;Ошибка: экзаменом. Нужно использовать: винительный падеж. Правильно: экзамен
В пятницей Кристиан поехал в Париж .;Ошибка: пятницей. Нужно использовать: винительный падеж. Правильно: пятницу
Когда он приехал в парижем , он сразу поехал в гостиницу недалеко от Монмартра .;Ошибка: парижем. Нужно использовать: винительный падеж. Правильно: Париж
Он оставил в гостиницу чемодан и Фёдора и поехал к коллеге .;Ошибка: гостиницу. Нужно использовать: предложный падеж. Правильно: гостинице
Они долго сидели в кафее и говорили о моде .;Ошибка: кафее. Нужно использовать: предложный падеж. Правильно: кафе
1 ( первым ) января — это наш самый любимый праздник , Новый год. Новый год отмечают везде в мире .;Ошибка: первым. Нужно использовать: винительный падеж. Правильно: первое
людей не спят , а пьют шампанское , едят вкусную еду и поздравляют друг друга с Новым годом !;Ошибка: людей. Нужно использовать: именительный падеж. Правильно: Люди
Как отмечают нового год в России ?;Ошибка: нового. Нужно использовать: винительный падеж. Правильно: Новый
В россию в эту ночь мы обычно едим салат оливье , селёдку под шубой , бутерброды с икрой , пьём шампанское и дарим друг другу подарки .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России
В каждый городе на площади стоит большая красивая ёлка .;Ошибка: каждый. Нужно использовать: предложный падеж. Правильно: каждом
деда Мороз и его внучка Снегурочка поздравляют нас с праздником !;Ошибка: деда. Нужно использовать: именительный падеж. Правильно: Дед
дом тоже стоит красивая ёлка .;Ошибка: дом. Нужно использовать: родительный падеж. Правильно: Дома
деда Мороз и Снегурочка могут прийти к вам домой и подарить вам подарки .;Ошибка: деда. Нужно использовать: именительный падеж. Правильно: Дед
детей всегда ждут Деда Мороза и Снегурочку .;Ошибка: детей. Нужно использовать: именительный падеж. Правильно: Дети
Они даже пишут ему письмо и рассказывают , какие подарки они хотят получить .;Ошибка: письмо. Нужно использовать: винительный падеж. Правильно: письма
В россию на Новый год любят дарить подарки .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России
В 12 часы президент поздравляет нас по телевизору .;Ошибка: часы. Нужно использовать: родительный падеж. Правильно: часов
Он желает нам счастье и здоровья .;Ошибка: счастье. Нужно использовать: родительный падеж. Правильно: счастья
Потом мы пьём шампанских и смотрим салют .;Ошибка: шампанских. Нужно использовать: винительный падеж. Правильно: шампанское
незнакомых люди на улице поздравляют друг друга и говорят : « С Новым годом ! » А ещё в России есть очень интересный праздник — Старый Новый год. Раньше в России был другой календарь .;Ошибка: незнакомых. Нужно использовать: именительный падеж. Правильно: Незнакомые
Когда в европу было первое января , в России было 13 ( тринадцатое ) января .;Ошибка: европу. Нужно использовать: предложный падеж. Правильно: Европе
Сейчас у нас обычного календарь , но мы помним наши cтарые традиции .;Ошибка: обычного. Нужно использовать: именительный падеж. Правильно: обычный
И поэтому встречаем нового год два раза .;Ошибка: нового. Нужно использовать: винительный падеж. Правильно: Новый
А 7 ( седьмым ) января — это , как и раньше , Рождество .;Ошибка: седьмым. Нужно использовать: именительный падеж. Правильно: седьмое
В этим день люди обычно ходят в церковь , готовят праздничный ужин , поздравляют друг друга с Рождеством и ужинают с семьёй .;Ошибка: этим. Нужно использовать: винительный падеж. Правильно: этот
Раньше мы слышали , что русского язык очень трудный .;Ошибка: русского. Нужно использовать: именительный падеж. Правильно: русский
У них есть совершенного и несовершенный вид .;Ошибка: совершенного. Нужно использовать: именительный падеж. Правильно: совершенный
Делал — сделал , говорил — сказал , покупал — купил ... - А я помню песней : « Мы едем , едем , едем в далёкие края , весёлые соседи , хорошие друзья » .;Ошибка: песней. Нужно использовать: винительный падеж. Правильно: песню
Может быть , вы помните , что лето я хочу поехать в Россию , в Сибирь .;Ошибка: лето. Нужно использовать: творительный падеж. Правильно: летом
А ещё мы помним все падеж .;Ошибка: падеж. Нужно использовать: винительный падеж. Правильно: падежи
- А сколько падежи в русском языке ?;Ошибка: падежи. Нужно использовать: родительный падеж. Правильно: падежей
- В русского языке 6 падежей .;Ошибка: русского. Нужно использовать: предложный падеж. Правильно: русском
Посмотрите таблицей .;Ошибка: таблицей. Нужно использовать: винительный падеж. Правильно: таблицу
