Input;Output;part of speech;number
- Мне очень нравится россию и её природа .;Ошибка: россию. Нужно использовать: именительный падеж. Правильно: Россия;NOUN;Sing
эту такая большая страна !;Ошибка: эту. Нужно использовать: именительный падеж. Правильно: Эта;PRON;Sing
Я хочу лето туда поехать , поэтому изучаю русский язык .;Ошибка: лето. Нужно использовать: творительный падеж. Правильно: летом;NOUN;Sing
- Завтра я всем день отдыхаю : буду спать , смотреть фильмы и есть пиццу .;Ошибка: всем. Нужно использовать: винительный падеж. Правильно: весь;PRON;Sing
Ты помнишь , что завтра у хуанитов день рождения ?;Ошибка: хуанитов. Нужно использовать: родительный падеж. Правильно: Хуаниты;NOUN;Plur
Ты уже купил ей подарком ?;Ошибка: подарком. Нужно использовать: винительный падеж. Правильно: подарок;NOUN;Sing
Я куплю ей подарком сегодня .;Ошибка: подарком. Нужно использовать: винительный падеж. Правильно: подарок;NOUN;Sing
Это самое старое дерево в мире .;Ошибка: самое. Нужно использовать: именительный падеж. Правильно: самое;ADJ;Sing
Это сосну .;Ошибка: сосну. Нужно использовать: именительный падеж. Правильно: сосна;ADJ;Sing
Она находится в калифорнию .;Ошибка: калифорнию. Нужно использовать: предложный падеж. Правильно: Калифорнии;NOUN;Sing
Ей 5069 годы .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
Это самое старое дерево в России .;Ошибка: самое. Нужно использовать: именительный падеж. Правильно: самое;ADJ;Sing
Эту дуб .;Ошибка: эту. Нужно использовать: именительный падеж. Правильно: это;PRON;Sing
Он находится в город Ладушкин .;Ошибка: город. Нужно использовать: предложный падеж. Правильно: городе;NOUN;Sing
Это недалеко от калининград .;Ошибка: калининград. Нужно использовать: родительный падеж. Правильно: Калининграда;NOUN;Sing
Ему 900 годы .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
Это Остромиро евангелия .;Ошибка: евангелия. Нужно использовать: именительный падеж. Правильно: Евангелие;NOUN;Sing
Это самую старая книга в России .;Ошибка: самую. Нужно использовать: именительный падеж. Правильно: самая;ADJ;Sing
она написал монах Григорий в 1056-ом году .;Ошибка: она. Нужно использовать: винительный падеж. Правильно: Её;PRON;Sing
Скажите , сколько годы книге ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
А это черепаху Джонатан .;Ошибка: черепаху. Нужно использовать: именительный падеж. Правильно: черепаха;NOUN;Sing
Она живёт на остров Святой Елены .;Ошибка: остров. Нужно использовать: предложный падеж. Правильно: острове;NOUN;Sing
Знаете , сколько ей годы ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
джонатана родился в 1832-ом году .;Ошибка: джонатана. Нужно использовать: именительный падеж. Правильно: Джонатан;NOUN;Sing
Скажите , сколько годы Джонатану ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
Это наной Шаова .;Ошибка: наной. Нужно использовать: винительный падеж. Правильно: Нану;NOUN;Sing
Она жила в россию , в Кабардино-Балкарии .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России;NOUN;Sing
Она родилась в 1890-омы году , а умерла в 2019-ом году .;Ошибка: 1890-омы. Нужно использовать: предложный падеж. Правильно: 1890-ом;ADJ;Sing
Скажите , сколько ей было годы ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
Это танаку Канэ .;Ошибка: танаку. Нужно использовать: именительный падеж. Правильно: Танака;NOUN;Sing
Она живёт в японию .;Ошибка: японию. Нужно использовать: предложный падеж. Правильно: Японии;NOUN;Sing
Она родилась в 1903-ем год .;Ошибка: год. Нужно использовать: предложный падеж. Правильно: году;NOUN;Sing
Скажите , сколько ей годы ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
А это самого старый город в мире — Иерихон .;Ошибка: самого. Нужно использовать: именительный падеж. Правильно: самый;ADJ;Sing
Он находится в палестину .;Ошибка: палестину. Нужно использовать: предложный падеж. Правильно: Палестине;NOUN;Sing
Ему примерно 10 000 годы .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
А это городы Керчь ( Пантикапей ) .;Ошибка: городы. Нужно использовать: именительный падеж. Правильно: город;NOUN;Sing
Это самых старый город в России .;Ошибка: самых. Нужно использовать: именительный падеж. Правильно: самый;ADJ;Sing
Ему 2600 годы .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
Посмотрите на карту , где находится этот город .;Ошибка: карту. Нужно использовать: предложный падеж. Правильно: карте;NOUN;Sing
А это собора в Керчи .;Ошибка: собора. Нужно использовать: именительный падеж. Правильно: собор;NOUN;Sing
Это самыи старый собор в России .;Ошибка: самыи. Нужно использовать: именительный падеж. Правильно: самый;ADJ;Sing
Его построили в 752-омы году .;Ошибка: 752-омы. Нужно использовать: предложный падеж. Правильно: 752-ом;NUM;Sing
Сколько годы собору ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
А это москву .;Ошибка: москву. Нужно использовать: именительный падеж. Правильно: Москва;NOUN;Sing
юрия Долгорукий основал Москву в 1147-ом году .;Ошибка: юрия. Нужно использовать: именительный падеж. Правильно: Юрий;NOUN;Sing
Скажите , сколько годы Москве ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
Это петербурга .;Ошибка: петербурга. Нужно использовать: именительный падеж. Правильно: Петербург;NOUN;Sing
Это очень молодую город .;Ошибка: молодую. Нужно использовать: именительный падеж. Правильно: молодой;ADJ;Sing
петра Первый основал Петербург в 1703-ем году .;Ошибка: петра. Нужно использовать: именительный падеж. Правильно: Пётр;NOUN;Sing
Сколько годы Петербургу ?;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
возраст не помехи !;Ошибка: помехи. Нужно использовать: именительный падеж. Правильно: помеха;NOUN;Sing
Как вы думаете , можно поменять жизнью и профессию , если вам 60 или 70 лет ?;Ошибка: жизнью. Нужно использовать: винительный падеж. Правильно: жизнь;NOUN;Sing
Вот дедушку Казимир .;Ошибка: дедушку. Нужно использовать: именительный падеж. Правильно: дедушка;NOUN;Sing
Ему было 66 годы , когда он решил поменять профессию и стать диджеем .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
Почти всей жизнь Казимир Карпенко работал директором в доме культуры .;Ошибка: всей. Нужно использовать: винительный падеж. Правильно: всю;PRON;Sing
Но потом решил , что надо менять жизнью .;Ошибка: жизнью. Нужно использовать: винительный падеж. Правильно: жизнь;NOUN;Sing
Он всегда любил музыкой , поэтому и стал диджеем .;Ошибка: музыкой. Нужно использовать: винительный падеж. Правильно: музыку;NOUN;Sing
Сейчас казимира много путешествует и работает : в Китае , Южной Корее , Казахстане , на Украине , в Германии , в Прибалтике , в Армении .;Ошибка: казимира. Нужно использовать: именительный падеж. Правильно: Казимир;NOUN;Sing
казимира говорит , что каждый день для него — праздник .;Ошибка: казимира. Нужно использовать: именительный падеж. Правильно: Казимир;NOUN;Sing
Посмотрите , пожалуйста , и послушайте , как работает казимира .;Ошибка: казимира. Нужно использовать: именительный падеж. Правильно: Казимир;NOUN;Sing
Это андрея Чирков .;Ошибка: андрея. Нужно использовать: именительный падеж. Правильно: Андрей;NOUN;Sing
андрея начал бегать , когда ему было 52 года .;Ошибка: андрея. Нужно использовать: именительный падеж. Правильно: Андрей;NOUN;Sing
Он никогда не бегал и не занимался спорт раньше .;Ошибка: спорт. Нужно использовать: творительный падеж. Правильно: спортом;NOUN;Sing
А сейчас он регулярно бегает марафонами .;Ошибка: марафонами. Нужно использовать: винительный падеж. Правильно: марафоны;NOUN;Plur
Сейчас андрея в Книге рекордов Гиннесса , потому что он бегал марафоны везде : это 178 стран и все континенты , он бегал даже в Антарктиде !;Ошибка: андрея. Нужно использовать: именительный падеж. Правильно: Андрей;NOUN;Sing
Скоро андрея Чиркову будет 80 лет , и он стал ещё и писателем .;Ошибка: андрея. Нужно использовать: дательный падеж. Правильно: Андрею;NOUN;Sing
Он уже написал 6 книги .;Ошибка: книги. Нужно использовать: родительный падеж. Правильно: книг;NOUN;Plur
Это книгу о здоровье , о том , как изменить жизнь и начать бегать в любом возрасте .;Ошибка: книгу. Нужно использовать: именительный падеж. Правильно: книги;NOUN;Plur
А это пенсионерку из Петербурга Евгения Степанова .;Ошибка: пенсионерку. Нужно использовать: именительный падеж. Правильно: пенсионерка;NOUN;Sing
Она родилась в 1938-омы году в Петербурге .;Ошибка: 1938-омы. Нужно использовать: предложный падеж. Правильно: 1938-ом;NUM;N/A
евгения работала инженером , а когда стала пенсионеркой , она решила , что нужно начать заниматься спортом .;Ошибка: евгения. Нужно использовать: именительный падеж. Правильно: Евгения;NOUN;Sing
Тогда ей было 60 годы .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
евгению нравятся прыжки в воду .;Ошибка: евгению. Нужно использовать: дательный падеж. Правильно: Евгении;NOUN;Sing
Сейчас евгения чемпионка !;Ошибка: евгения. Нужно использовать: именительный падеж. Правильно: Евгения;NOUN;Sing
У неё золотых и серебряные медали из Германии , Испании , Франции , Канады , Австралии .;Ошибка: золотых. Нужно использовать: именительный падеж. Правильно: золотые;ADJ;Plur
Она регулярно ездит на чемпионатами Европы .;Ошибка: чемпионатами. Нужно использовать: винительный падеж. Правильно: чемпионаты;NOUN;Plur
Посмотрите видеа и страницу Евгении в ВК .;Ошибка: видеа. Нужно использовать: винительный падеж. Правильно: видео;NOUN;Sing
Это валентину Ясень .;Ошибка: валентину. Нужно использовать: именительный падеж. Правильно: Валентина;NOUN;Sing
настоящую звезда !;Ошибка: настоящую. Нужно использовать: именительный падеж. Правильно: Настоящая;ADJ;Sing
валентину работала в аптеке , работала курьером , работала в детском саду .;Ошибка: валентину. Нужно использовать: именительный падеж. Правильно: Валентина;NOUN;Sing
Когда ей было 62 год , она стала фотомоделью .;Ошибка: год. Нужно использовать: родительный падеж. Правильно: года;NOUN;Sing
Сейчас валентину очень занята : фотосессии , интервью и телевизионные шоу .;Ошибка: валентину. Нужно использовать: именительный падеж. Правильно: Валентина;NOUN;Sing
валентину очень популярная модель !;Ошибка: валентину. Нужно использовать: именительный падеж. Правильно: Валентина;NOUN;Sing
Посмотрите она инстаграм .;Ошибка: она. Нужно использовать: винительный падеж. Правильно: её;PRON;Sing
валентину говорит , что в 60 лет жизнь только начинается .;Ошибка: валентину. Нужно использовать: именительный падеж. Правильно: Валентина;NOUN;Sing
— клауса , что ты делаешь в эти выходные ?;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус;NOUN;Sing
Скоро праздниками .;Ошибка: праздниками. Нужно использовать: именительный падеж. Правильно: праздники;NOUN;Plur
Мне надо купить подарками , но сначала мне надо подумать , что и кому подарить , а это так сложно !;Ошибка: подарками. Нужно использовать: винительный падеж. Правильно: подарки;NOUN;Plur
Тебе надо подумать , кто что любит , и купить это в магазин или заказать в Интернете .;Ошибка: магазин. Нужно использовать: предложный падеж. Правильно: магазине;NOUN;Sing
Что , например , можно подарить маму ?;Ошибка: маму. Нужно использовать: дательный падеж. Правильно: маме;NOUN;Sing
— А что она любит делать в свободное время ?;Ошибка: свободное. Нужно использовать: винительный падеж. Правильно: свободное;ADJ;Sing
— Она очень любит читать , но я уже дарил ей книгу .;Ошибка: книгу. Нужно использовать: винительный падеж. Правильно: книги;NOUN;Plur
— Может быть , тебе надо подарить маму кулинарную книгу ?;Ошибка: маму. Нужно использовать: дательный падеж. Правильно: маме;NOUN;Sing
— Это идею !;Ошибка: идею. Нужно использовать: именительный падеж. Правильно: идея;NOUN;Sing
Я подарю ей книгой « Русская национальная кухня » .;Ошибка: книгой. Нужно использовать: винительный падеж. Правильно: книгу;NOUN;Sing
Я думаю , рецептами ей понравятся .;Ошибка: рецептами. Нужно использовать: именительный падеж. Правильно: рецепты;NOUN;Plur
Купить хорошего и интересный подарок человеку — это совсем непросто .;Ошибка: хорошего. Нужно использовать: винительный падеж. Правильно: хороший;ADJ;Sing
Во-первых , надо хорошо знать , что нравится этот человеку .;Ошибка: этот. Нужно использовать: дательный падеж. Правильно: этому;PRON;Sing
Во-вторых , важно знать , что у человек есть , а чего у него нет , что он хочет или о чём он мечтает .;Ошибка: человек. Нужно использовать: родительный падеж. Правильно: человека;NOUN;Sing
Если вы не очень хорошо знаете человек или вы думаете , что у него всё есть , то надо сделать простой подарок .;Ошибка: человек. Нужно использовать: винительный падеж. Правильно: человека;NOUN;Sing
Например , можно подарить цветами или шоколад .;Ошибка: цветами. Нужно использовать: винительный падеж. Правильно: цветы;NOUN;Plur
А ещё можно подарить книгой .;Ошибка: книгой. Нужно использовать: винительный падеж. Правильно: книгу;NOUN;Sing
Мы говорим в россию , что книга — это лучший подарок .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России;NOUN;Sing
Если человека нравится история , можно подарить исторический роман .;Ошибка: человека. Нужно использовать: дательный падеж. Правильно: человеку;NOUN;Sing
Если человека любит искусство , то можно подарить книгу о художнике , а если он изучает русский язык , нужно подарить ему книгу на русском языке или книгу о России .;Ошибка: человека. Нужно использовать: именительный падеж. Правильно: человек;NOUN;Sing
Можно найти разных книги !;Ошибка: разных. Нужно использовать: винительный падеж. Правильно: разные;ADJ;Plur
Утром клауса пошёл на работу .;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус;NOUN;Sing
Он пришёл в кафи в 8 часов утра .;Ошибка: кафи. Нужно использовать: предложный падеж. Правильно: кафе;NOUN;Sing
Он работал до обед , а потом пошёл в университет .;Ошибка: обед. Нужно использовать: родительный падеж. Правильно: обеда;NOUN;Sing
Когда он пришёл в университете , он узнал , что сегодня не лекция , а экзамен .;Ошибка: университете. Нужно использовать: винительный падеж. Правильно: университет;NOUN;Sing
клауса такой талантливый !;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус;NOUN;Sing
Он сдал экзаменом и пошёл в гости к Софии .;Ошибка: экзаменом. Нужно использовать: винительный падеж. Правильно: экзамен;NOUN;Sing
В пятницей Кристиан поехал в Париж .;Ошибка: пятницей. Нужно использовать: винительный падеж. Правильно: пятницу;NOUN;Sing
Когда он приехал в парижем , он сразу поехал в гостиницу недалеко от Монмартра .;Ошибка: парижем. Нужно использовать: винительный падеж. Правильно: Париж;NOUN;Sing
Он оставил в гостиницу чемодан и Фёдора и поехал к коллеге .;Ошибка: гостиницу. Нужно использовать: предложный падеж. Правильно: гостинице;NOUN;Sing
Они долго сидели в кафее и говорили о моде .;Ошибка: кафее. Нужно использовать: предложный падеж. Правильно: кафе;NOUN;Sing
1 ( первым ) января — это наш самый любимый праздник , Новый год. Новый год отмечают везде в мире .;Ошибка: первым. Нужно использовать: винительный падеж. Правильно: первое;NUM;Sing
людей не спят , а пьют шампанское , едят вкусную еду и поздравляют друг друга с Новым годом !;Ошибка: людей. Нужно использовать: именительный падеж. Правильно: Люди;NOUN;Plur
Как отмечают нового год в России ?;Ошибка: нового. Нужно использовать: винительный падеж. Правильно: Новый;ADJ;Sing
В россию в эту ночь мы обычно едим салат оливье , селёдку под шубой , бутерброды с икрой , пьём шампанское и дарим друг другу подарки .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России;NOUN;Sing
В каждый городе на площади стоит большая красивая ёлка .;Ошибка: каждый. Нужно использовать: предложный падеж. Правильно: каждом;PRON;Sing
деда Мороз и его внучка Снегурочка поздравляют нас с праздником !;Ошибка: деда. Нужно использовать: именительный падеж. Правильно: Дед;NOUN;Sing
деда Мороз и Снегурочка могут прийти к вам домой и подарить вам подарки .;Ошибка: деда. Нужно использовать: именительный падеж. Правильно: Дед;NOUN;Sing
детей всегда ждут Деда Мороза и Снегурочку .;Ошибка: детей. Нужно использовать: именительный падеж. Правильно: Дети;NOUN;Plur
Они даже пишут ему письмо и рассказывают , какие подарки они хотят получить .;Ошибка: письмо. Нужно использовать: винительный падеж. Правильно: письма;NOUN;Plur
В россию на Новый год любят дарить подарки .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России;NOUN;Sing
В 12 часы президент поздравляет нас по телевизору .;Ошибка: часы. Нужно использовать: родительный падеж. Правильно: часов;NOUN;Plur
Он желает нам счастье и здоровья .;Ошибка: счастье. Нужно использовать: родительный падеж. Правильно: счастья;NOUN;Sing
Потом мы пьём шампанских и смотрим салют .;Ошибка: шампанских. Нужно использовать: винительный падеж. Правильно: шампанское;NOUN;Sing
незнакомых люди на улице поздравляют друг друга и говорят : « С Новым годом ! » А ещё в России есть очень интересный праздник — Старый Новый год. Раньше в России был другой календарь .;Ошибка: незнакомых. Нужно использовать: именительный падеж. Правильно: Незнакомые;ADJ;Plur
Когда в европу было первое января , в России было 13 ( тринадцатое ) января .;Ошибка: европу. Нужно использовать: предложный падеж. Правильно: Европе;NOUN;Sing
Сейчас у нас обычного календарь , но мы помним наши cтарые традиции .;Ошибка: обычного. Нужно использовать: именительный падеж. Правильно: обычный;ADJ;Sing
И поэтому встречаем нового год два раза .;Ошибка: нового. Нужно использовать: винительный падеж. Правильно: Новый;ADJ;Sing
А 7 ( седьмым ) января — это , как и раньше , Рождество .;Ошибка: седьмым. Нужно использовать: именительный падеж. Правильно: седьмое;ADJ;Sing
В этим день люди обычно ходят в церковь , готовят праздничный ужин , поздравляют друг друга с Рождеством и ужинают с семьёй .;Ошибка: этим. Нужно использовать: винительный падеж. Правильно: этот;PRON;Sing
Раньше мы слышали , что русского язык очень трудный .;Ошибка: русского. Нужно использовать: именительный падеж. Правильно: русский;ADJ;Sing
У них есть совершенного и несовершенный вид .;Ошибка: совершенного. Нужно использовать: именительный падеж. Правильно: совершенный;ADJ;Sing
Делал — сделал , говорил — сказал , покупал — купил ... - А я помню песней : « Мы едем , едем , едем в далёкие края , весёлые соседи , хорошие друзья » .;Ошибка: песней. Нужно использовать: винительный падеж. Правильно: песню;NOUN;Sing
Может быть , вы помните , что лето я хочу поехать в Россию , в Сибирь .;Ошибка: лето. Нужно использовать: творительный падеж. Правильно: летом;NOUN;Sing
А ещё мы помним все падеж .;Ошибка: падеж. Нужно использовать: винительный падеж. Правильно: падежи;NOUN;Plur
- А сколько падежи в русском языке ?;Ошибка: падежи. Нужно использовать: родительный падеж. Правильно: падежей;NOUN;Sing
- В русского языке 6 падежей .;Ошибка: русского. Нужно использовать: предложный падеж. Правильно: русском;NOUN;Sing
Посмотрите таблицей .;Ошибка: таблицей. Нужно использовать: винительный падеж. Правильно: таблицу;NOUN;Sing
Обратите вниманием , в русском языке местоимения и прилагательные изменяются по падежам , как и существительные .;Ошибка: вниманием. Нужно использовать: винительный падеж. Правильно: внимание;NOUN;Sing
- Я читал , что это вторую язык в Интернете .;Ошибка: вторую. Нужно использовать: именительный падеж. Правильно: второй;NUM;Sing
Потому что в интернет очень много информации на русском языке .;Ошибка: интернет. Нужно использовать: предложный падеж. Правильно: Интернете;NOUN;Sing
- Мы уже говорили , что русского язык трудный .;Ошибка: русского. Нужно использовать: именительный падеж. Правильно: русский;ADJ;Sing
Но мы не сказали , что это очень красивого язык .;Ошибка: красивого. Нужно использовать: именительный падеж. Правильно: красивый;ADJ;Sing
Это димитриса Георгиадис .;Ошибка: димитриса. Нужно использовать: именительный падеж. Правильно: Димитрис;NOUN;Sing
димитриса — грек .;Ошибка: димитриса. Нужно использовать: именительный падеж. Правильно: Димитрис;NOUN;Sing
Он родился на греческого острове Корфу .;Ошибка: греческого. Нужно использовать: предложный падеж. Правильно: греческом;NOUN;Sing
Потом учился в театральную школе в столице Греции .;Ошибка: театральную. Нужно использовать: предложный падеж. Правильно: театральной;ADJ;Sing
В эту школе ученики часто играли пьесы А. П. Чехова , и поэтому Димитрис захотел узнать больше о русской литературе , о России и о русской театральной школе .;Ошибка: эту. Нужно использовать: предложный падеж. Правильно: этой;PRON;Sing
В 2010-омы году он начал учить русский язык и через год , в 2011-ом году , Димитрис приехал в Россию , чтобы учиться в театральном институте .;Ошибка: 2010-омы. Нужно использовать: предложный падеж. Правильно: 2010-ом;NUM;Sing
Его преподавателя спросил : « Димитрис , какой предмет у тебя на первом месте ? » — Актёрское мастерство , — ответил Димитрис .;Ошибка: преподавателя. Нужно использовать: именительный падеж. Правильно: преподаватель;NOUN;Sing
— Нет , на первый месте должен быть русский язык , — сказал преподаватель .;Ошибка: первый. Нужно использовать: предложный падеж. Правильно: первом;NUM;Sing
Сейчас у димитрис передача на русском языке о России « Ехал грека » .;Ошибка: димитрис. Нужно использовать: родительный падеж. Правильно: Димитриса;NOUN;Sing
Он ездит в разных русские города и рассказывает интересные истории о каждом городе .;Ошибка: разных. Нужно использовать: винительный падеж. Правильно: разные;ADJ;Plur
В прошлого году он был в Великом Устюге , в Костроме , во Владимире , в Ростове Великом и в Суздале .;Ошибка: прошлого. Нужно использовать: предложный падеж. Правильно: прошлом;NOUN;Sing
В этом год Димитрис будет продолжать рассказывать о России .;Ошибка: год. Нужно использовать: предложный падеж. Правильно: году;NOUN;Sing
Вы уже знаете , что в русского языке 33 буквы .;Ошибка: русского. Нужно использовать: предложный падеж. Правильно: русском;NOUN;Sing
И вы уже знаете , что раньше в нём было 43 букву .;Ошибка: букву. Нужно использовать: родительный падеж. Правильно: буквы;NOUN;Plur
Много годы назад , в девятом веке , в 863 году братья Кирилл и Мефодий создали русский алфавит .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
кирилла и Мефодий жили в македонском городе Солуни .;Ошибка: кирилла. Нужно использовать: именительный падеж. Правильно: Кирилл;NOUN;Sing
А вы знаете , как называется этим город сейчас ?;Ошибка: этим. Нужно использовать: именительный падеж. Правильно: этот;PRON;Sing
Сейчас это греческого город Салоники .;Ошибка: греческого. Нужно использовать: именительный падеж. Правильно: греческий;ADJ;Sing
братьев создали новый алфавит , потому что люди хотели читать Библию и христианские книги по-русски .;Ошибка: братьев. Нужно использовать: именительный падеж. Правильно: Братья;NOUN;Plur
этим алфавит начали использовать на Руси .;Ошибка: этим. Нужно использовать: именительный падеж. Правильно: Этот;PRON;Sing
Его первую буква А называется « аз » , а вторая буква Б называется « буки » .;Ошибка: первую. Нужно использовать: именительный падеж. Правильно: первая;NUM;Sing
Поэтому в русского языке есть синоним слова « алфавит » — азбука .;Ошибка: русского. Нужно использовать: предложный падеж. Правильно: русском;NOUN;Sing
Как вы думаете , на какой языке написано слово комета ?;Ошибка: какой. Нужно использовать: предложный падеж. Правильно: каком;PRON;Sing
некоторых русские буквы очень похожи на латинские буквы .;Ошибка: некоторых. Нужно использовать: именительный падеж. Правильно: Некоторые;PRON;Plur
некоторая буквы мы пишем и читаем так же .;Ошибка: некоторая. Нужно использовать: именительный падеж. Правильно: Некоторые;PRON;Plur
А некоторых пишем так же , но читаем по-другому .;Ошибка: некоторых. Нужно использовать: именительный падеж. Правильно: некоторые;PRON;Plur
Как вы прочитаете словв ресторан в России и во Франции ?;Ошибка: слова. Нужно использовать: винительный падеж. Правильно: слово;NOUN;Sing
Посмотрите на рисунок и скажите , какие русские буквы , которые вы знаете , были в древней русской азбуке .;Ошибка: рисунок. Нужно использовать: винительный падеж. Правильно: рисунок;NOUN;Sing
А вы знаете , что в 1564 год в Москве Иван Фёдоров напечатал книгу ?;Ошибка: год. Нужно использовать: предложный падеж. Правильно: году;NOUN;Sing
Это была первую русская печатная книга .;Ошибка: первую. Нужно использовать: именительный падеж. Правильно: первая;ADJ;Sing
книгу называется « Апостол » .;Ошибка: книгу. Нужно использовать: именительный падеж. Правильно: Книга;NOUN;Sing
В эту первой русской книге было 534 страницы .;Ошибка: эту. Нужно использовать: предложный падеж. Правильно: этой;PRON;Sing
Это екатерину Дашкова — директор Петербургской Академии наук .;Ошибка: екатерину. Нужно использовать: именительный падеж. Правильно: Екатерина;NOUN;Sing
В 1763 год она придумала новую букву — букву Ё. Это самая молодая буква в русской азбуке .;Ошибка: год. Нужно использовать: предложный падеж. Правильно: году;NOUN;Sing
Но русских писатели , поэты и журналисты не хотели использовать букву Ё. Русский историк Николай Михайлович Карамзин первый использовал букву Ё в своём стихотворении .;Ошибка: русских. Нужно использовать: именительный падеж. Правильно: русские;NOUN;Plur
первым слово , которое Карамзин написал с буквой ё , — это слово « слёзы » .;Ошибка: первым. Нужно использовать: именительный падеж. Правильно: Первое;NUM;Sing
В город Ульяновске в 2005 году даже появился памятник букве Ё. Знаете , почему здесь ?;Ошибка: город. Нужно использовать: предложный падеж. Правильно: городе;NOUN;Sing
Потому что карамзина в детстве жил в этом городе .;Ошибка: карамзина. Нужно использовать: именительный падеж. Правильно: Карамзин;NOUN;Sing
